(U+0101)	c481	feff0101	LATIN SMALL LETTER A WITH MACRON
(U+0102)	c482	feff0102	LATIN CAPITAL LETTER A WITH BREVE
(U+0103)	c483	feff0103	LATIN SMALL LETTER A WITH BREVE
(U+0104)	c484	feff0104	LATIN CAPITAL LETTER A WITH OGONEK
(U+0105)	c485	feff0105	LATIN SMALL LETTER A WITH OGONEK
(U+0106)	c486	feff0106	LATIN CAPITAL LETTER C WITH ACUTE
(U+0107)	c487	feff0107	LATIN SMALL LETTER C WITH ACUTE
(U+0108)	c488	feff0108	LATIN CAPITAL LETTER C WITH CIRCUMFLEX
(U+0109)	c489	feff0109	LATIN SMALL LETTER C WITH CIRCUMFLEX
(U+010A)	c48a	feff010a	LATIN CAPITAL LETTER C WITH DOT ABOVE
(U+010B)	c48b	feff010b	LATIN SMALL LETTER C WITH DOT ABOVE
(U+010C)	c48c	feff010c	LATIN CAPITAL LETTER C WITH CARON
(U+010D)	c48d	feff010d	LATIN SMALL LETTER C WITH CARON
(U+010E)	c48e	feff010e	LATIN CAPITAL LETTER D WITH CARON
(U+010F)	c48f	feff010f	LATIN SMALL LETTER D WITH CARON
(U+0110)	c490	feff0110	LATIN CAPITAL LETTER D WITH STROKE
(U+0111)	c491	feff0111	LATIN SMALL LETTER D WITH STROKE
(U+0112)	c492	feff0112	LATIN CAPITAL LETTER E WITH MACRON
(U+0113)	c493	feff0113	LATIN SMALL LETTER E WITH MACRON
(U+0114)	c494	feff0114	LATIN CAPITAL LETTER E WITH BREVE
(U+0115)	c495	feff0115	LATIN SMALL LETTER E WITH BREVE
(U+0116)	c496	feff0116	LATIN CAPITAL LETTER E WITH DOT ABOVE
(U+0117)	c497	feff0117	LATIN SMALL LETTER E WITH DOT ABOVE
(U+0118)	c498	feff0118	LATIN CAPITAL LETTER E WITH OGONEK
(U+0119)	c499	feff0119	LATIN SMALL LETTER E WITH OGONEK
(U+011A)	c49a	feff011a	LATIN CAPITAL LETTER E WITH CARON
(U+011B)	c49b	feff011b	LATIN SMALL LETTER E WITH CARON
(U+011C)	c49c	feff011c	LATIN CAPITAL LETTER G WITH CIRCUMFLEX
(U+011D)	c49d	feff011d	LATIN SMALL LETTER G WITH CIRCUMFLEX
(U+011E)	c49e	feff011e	LATIN CAPITAL LETTER G WITH BREVE
(U+011F)	c49f	feff011f	LATIN SMALL LETTER G WITH BREVE
(U+0120)	c4a0	feff0120	LATIN CAPITAL LETTER G WITH DOT ABOVE
(U+0121)	c4a1	feff0121	LATIN SMALL LETTER G WITH DOT ABOVE
(U+0122)	c4a2	feff0122	LATIN CAPITAL LETTER G WITH CEDILLA
(U+0123)	c4a3	feff0123	LATIN SMALL LETTER G WITH CEDILLA
(U+0124)	c4a4	feff0124	LATIN CAPITAL LETTER H WITH CIRCUMFLEX
(U+0125)	c4a5	feff0125	LATIN SMALL LETTER H WITH CIRCUMFLEX
(U+0126)	c4a6	feff0126	LATIN CAPITAL LETTER H WITH STROKE
(U+0127)	c4a7	feff0127	LATIN SMALL LETTER H WITH STROKE
(U+0128)	c4a8	feff0128	LATIN CAPITAL LETTER I WITH TILDE
(U+0129)	c4a9	feff0129	LATIN SMALL LETTER I WITH TILDE
(U+012A)	c4aa	feff012a	LATIN CAPITAL LETTER I WITH MACRON
(U+012B)	c4ab	feff012b	LATIN SMALL LETTER I WITH MACRON
(U+012C)	c4ac	feff012c	LATIN CAPITAL LETTER I WITH BREVE
(U+012D)	c4ad	feff012d	LATIN SMALL LETTER I WITH BREVE
(U+012E)	c4ae	feff012e	LATIN CAPITAL LETTER I WITH OGONEK
(U+012F)	c4af	feff012f	LATIN SMALL LETTER I WITH OGONEK
(U+0130)	c4b0	feff0130	LATIN CAPITAL LETTER I WITH DOT ABOVE
(U+0131)	c4b1	feff0131	LATIN SMALL LETTER DOTLESS I
